Variant SKU,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Inventory Qty,Variant Weight,Variant Price,Variant Barcode,Body HTML,Variant Image,Variant Tax Code
T_789_Mens_Linen_trs_NVY_32,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,32W,,,164,0.4,4.5,5.05624E+12,"<p data-mce-fragment=""1"">Men's Straight Fit Linen and Cotton Blend Trousers.  With multiple pockets, quality finishing and four great colours to choose from these linen trousers will be a great hit for summer.<br></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features</strong>:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Solid colour straight-fit trousers in cotton and linen blend</li>
<li data-mce-fragment=""1"">Two large pockets on the front</li>
<li data-mce-fragment=""1"">Two flap pockets with button on back</li>
<li data-mce-fragment=""1"">One side pocket</li>
<li data-mce-fragment=""1"">Zip and button fastening</li>
<li data-mce-fragment=""1"">Comfort fit</li>
<li data-mce-fragment=""1"">Regular Length</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fabric</strong>:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">55% Cotton, 45% Linen</li>
</ul>",https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_NVY_33,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,33W,,,464,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_NVY_34,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,34W,,,399,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_NVY_36,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,36W,,,372,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_NVY_38,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,38W,,,270,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_NVY_40,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,40W,,,192,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_NVY_42,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,42W,,,165,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_NVY_44,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Navy,Size,44W,,,25,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_32,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,32W,,,52,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_33,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,33W,,,231,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_34,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,34W,,,51,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_36,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,36W,,,55,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_38,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,38W,,,51,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_40,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,40W,,,2,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_42,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,42W,,,0,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_OLV_44,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Olive,Size,44W,,,0,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,
T_789_Mens_Linen_trs_BGE_32,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Beige,Size,32W,,,0,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/beige_2c44faae-5245-4fa0-9a2a-653d6c9b2059.jpg?v=1650971345,
T_789_Mens_Linen_trs_BGE_33,mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,Color,Beige,Size,33W,,,27,0.4,4.5,5.05624E+12,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/beige_2c44faae-5245-4fa0-9a2a-653d6c9b2059.jpg?v=1650971345,
