Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
mens-straight-fit-casual-linen-and-cotton-blend-trousers,Mens Straight Fit Linen Blend Trousers,"<p data-mce-fragment=""1"">Men's Straight Fit Linen and Cotton Blend Trousers.� With multiple pockets, quality finishing and four great colours to choose from these linen trousers will be a great hit for summer.<br></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features</strong>:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Solid colour straight-fit trousers in cotton and linen blend</li>
<li data-mce-fragment=""1"">Two large pockets on the front</li>
<li data-mce-fragment=""1"">Two flap pockets with button on back</li>
<li data-mce-fragment=""1"">One side pocket</li>
<li data-mce-fragment=""1"">Zip and button fastening</li>
<li data-mce-fragment=""1"">Comfort fit</li>
<li data-mce-fragment=""1"">Regular Length</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fabric</strong>:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">55% Cotton, 45% Linen</li>
</ul>",EK,,,,TRUE,Color,Navy,product.metafields.shopify.color-pattern,Size,32W,product.metafields.shopify.size,,,,T_789_Mens_Linen_trs_NVY_32,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,0,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,TRUE,,,TRUE,,,,,,active
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Navy,,,33W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Navy,,,34W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Navy,,,36W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Navy,,,38W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Navy,,,40W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Navy,,,42W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Navy,,,44W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_aa6195b6-2585-4b4e-b1c2-f4b8ff904b42.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,32W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,33W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,34W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,36W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,38W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,40W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,42W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Olive,,,44W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/olive_da69177d-fef8-4e6b-af48-0346946b6d4f.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Beige,,,32W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/beige_2c44faae-5245-4fa0-9a2a-653d6c9b2059.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/beige_2c44faae-5245-4fa0-9a2a-653d6c9b2059.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
